,NBAC_nfireid,WFS event,T2_area,dice_coefficient,Relative Percent Difference,NFDB_fireid
0,658.0,144,11254629.472423494,0.6872402309811739,56.43693529264658,
1,674.0,155,1532879.240145773,0.2559937356595395,14.56672592759714,
2,674.0,167,3096117.3266587406,0.3728137243279416,80.13677674134743,
3,659.0,168,11226903.320675567,0.6715063794884617,57.30706894992738,
4,,168,11226903.320675567,0.7591631312293157,38.06171083369681,23PA-LILLY
5,979.0,210,496338.3807844725,0.37609694218651385,29.77381473099399,
6,,210,496338.3807844725,0.3760969421895056,29.773814731241828,23BN-BRIR01
7,648.0,214,3972660.8138767993,0.531758370616559,2.2461149914604674,
8,351.0,221,2223809738.576981,0.46239942277214385,107.05061811104804,
9,352.0,221,2223809738.576981,0.3460676138667696,130.30194426119226,
10,671.0,221,2223809738.576981,0.02426736699878581,195.03688024509594,
11,673.0,221,2223809738.576981,0.04705993350447938,190.52089028895867,
12,1641.0,221,2223809738.576981,0.00644373164193114,198.7112536716138,
13,,221,2223809738.576981,0.014401553918429516,197.11968921631407,23BN-HILLS
14,,221,2223809738.576981,0.5771723252794417,64.49116235848805,23BN-VERMETTE
15,,221,2223809738.576981,0.031320830731846695,193.55790829588284,23BN-VOLD
16,,221,2223809738.576981,0.41365845311261457,116.79025406458258,23LX-LSZ001
17,,221,2223809738.576981,0.05503690030131052,188.9120345551703,23LX-PAWR03
18,643.0,248,11128614.075414518,0.4616217152264538,67.34333930831711,
19,,248,11128614.075414518,0.672146759117722,22.66154864531706,23LF-ROCKY
20,668.0,257,74892259.30558525,0.6562291384191526,67.1218415501331,
21,,257,74892259.30558525,0.8278846380201368,31.008248678960182,23BR-SAULTEAUX
22,982.0,258,4773893.294573773,0.7113561337574568,7.267539163370109,
23,,258,4773893.294573773,0.7113561337566748,7.267539163268827,23HB-DELTA
24,1021.0,270,471795.6504663401,0.32020592393370073,49.096666910008125,
25,,270,471795.6504663401,0.32020592393056746,49.09666690949604,23HB-FWDF01
26,981.0,290,3184806.109028107,0.8182622485750067,4.408862317099274,
27,,290,3184806.109028107,0.8182622485726193,4.408862316991263,23BN-LOCAL
28,668.0,319,172909.53592729432,0.0008952057503910374,198.15206460290312,
29,,319,172909.53592729432,0.00117108553062816,198.7415513823708,23BR-SAULTEAUX
30,980.0,333,1174179.2132086542,0.502801355940858,33.445073046795486,
31,,333,1174179.2132086542,0.5028013559430773,33.44507304731154,23HB-MUSKEG
32,982.0,334,394718.4670541409,0.11914811731206107,167.33701612429397,
33,,334,394718.4670541409,0.11914811731142012,167.33701612432438,23HB-DELTA
34,350.0,398,2142073936.625745,0.6934634467804994,60.330452016735016,
35,,398,2142073936.625745,0.000813639145193035,199.81370894632698,23LX-PELICAN
36,,398,2142073936.625745,0.9310912717042858,12.691355760725592,23LX-SHAW
37,651.0,438,23306433.93336074,0.6540929277069415,67.80128613392164,
38,,438,23306433.93336074,0.7819436461618124,42.02015058185181,23WY-MEYAK
39,657.0,467,5670916.618803014,0.6741390556526106,58.04922649360286,
40,,467,5670916.618803014,0.7048311713926477,36.682333565822695,23PA-SLIR03
41,983.0,480,4115773.250383935,0.48149503417257905,102.61263881433342,
42,,480,4115773.250383935,0.4814950341720025,102.61263881445466,23HB-CHIR02
43,349.0,488,7617925063.275103,0.7348903052469398,52.45066218650977,
44,,488,7617925063.275103,0.0016525251764611623,199.65665866007726,23LA-CHURCH
45,,488,7617925063.275103,0.6455929482971652,70.48338364146103,23LA-MCCRAE
46,,488,7617925063.275103,0.058197500417244426,188.3218669707248,23LX-ELLERAAS
47,,488,7617925063.275103,0.011050730439083284,197.78507506182058,23LX-HAULTAIN
48,,488,7617925063.275103,0.46047543269550617,107.73936483846802,23LX-SMITH
49,652.0,493,743500764.0949992,0.7350689840054024,51.183264312580945,
50,,493,743500764.0949992,0.8949130738892855,18.663819055728702,23LA-WISTIGO
51,615.0,501,52631008.296864435,0.8274378741021362,14.489148720683087,
52,,501,52631008.296864435,0.2017752525264032,148.55011891278102,23LA-COWIE
53,,501,52631008.296864435,0.8309536711313257,17.824447158968617,23LA-KOLWASKIE
54,632.0,510,13373117.821221314,0.8515415415091598,14.037727931504465,
55,,510,13373117.821221314,0.8613761260689794,14.84099590226697,23LA-DECEPTION
56,984.0,569,3586187.526127295,0.5834685982770658,13.090263934251311,
57,,569,3586187.526127295,0.5834685982776195,13.090263934150842,23BR-AIR04
58,,695,282289.3640964649,2.1563262562802477e-05,199.90091844031775,23BN-VERMETTE
59,655.0,763,504013781.1243912,0.8351820865740239,28.196490265403085,
60,,763,504013781.1243912,0.8699470498054653,21.300634074545773,23LX-BOLDING
61,625.0,771,70357671.1197142,0.7318707778625193,11.774301518672093,
62,,771,70357671.1197142,0.792941608494566,29.853704719953495,23DB-KPIR02
63,606.0,772,212287741.455752,0.8975616422277035,16.239500990375337,
64,,772,212287741.455752,0.9329110834267822,9.927260173627271,23SR-RIACH
65,607.0,775,98181718.29946409,0.7503587758120736,47.47208044644115,
66,,775,98181718.29946409,0.8363244610867376,31.55089796098193,23SR-KAY
67,641.0,797,186578404.19054845,0.7474633356232878,18.36510937623386,
68,,797,186578404.19054845,0.6298621861849988,43.34111458325444,23LA-SHARP
69,986.0,805,6542084.532192846,0.6226461385770024,74.4645394526659,
70,,805,6542084.532192846,0.622646138577046,74.46453945270119,23HB-CLEM
71,987.0,836,1282327.0451280547,0.7304041198209776,36.74436324267702,
72,,836,1282327.0451280547,0.7304041198230329,36.7443632427266,23SR-SINGER
73,641.0,900,226632.34699615976,0.0025541237342862674,199.41672851774183,
74,,900,226632.34699615976,0.00349256649716259,199.24670978088633,23LA-SHARP
75,625.0,902,744510.8229097218,0.016773634226116833,196.27299737088256,
76,,902,744510.8229097218,0.015488685959412994,196.89113440210616,23DB-KPIR02
77,987.0,909,381793.9168014033,0.007416934192371116,79.37657540686057,
78,,909,381793.9168014033,0.007416934191380483,79.37657540681734,23SR-SINGER
79,664.0,971,11287286.99306723,0.742155843590043,6.953131400436249,
80,661.0,972,257716965.21316034,0.6085171497382424,26.833174433785388,
81,,972,257716965.21316034,0.6920388532490833,47.11543631272833,23BN-SHAD
82,608.0,979,215243905.55264252,0.7780301929587236,34.806716274914955,
83,,979,215243905.55264252,0.30136699050283644,139.34059357310286,23SR-DEBUS
84,,979,215243905.55264252,0.46376496467759465,94.25987411564076,23SR-DEBUS2
