,NBAC_nfireid,WFS event,area,dice_coefficient
0,658.0,144,11254629.472423494,0.6872402309811739
1,674.0,155,1532879.240145773,0.2559937356595395
2,674.0,167,3096117.3266587406,0.3728137243279416
3,659.0,168,11226903.320675567,0.6715063794884617
4,979.0,210,496338.3807844725,0.37609694218651385
5,648.0,214,3972660.8138767993,0.531758370616559
6,351.0,221,2223809738.576981,0.46239942277214385
7,352.0,221,2223809738.576981,0.3460676138667696
8,671.0,221,2223809738.576981,0.02426736699878581
9,673.0,221,2223809738.576981,0.04705993350447938
10,1641.0,221,2223809738.576981,0.00644373164193114
11,643.0,248,11128614.075414518,0.4616217152264538
12,668.0,257,74892259.30558525,0.6562291384191526
13,982.0,258,4773893.294573773,0.7113561337574568
14,1021.0,270,471795.6504663401,0.32020592393370073
15,981.0,290,3184806.109028107,0.8182622485750067
16,668.0,319,172909.53592729432,0.0008952057503910374
17,980.0,333,1174179.2132086542,0.502801355940858
18,982.0,334,394718.4670541409,0.11914811731206107
19,350.0,398,2142073936.625745,0.6934634467804994
20,651.0,438,23306433.93336074,0.6540929277069415
21,657.0,467,5670916.618803014,0.6741390556526106
22,983.0,480,4115773.250383935,0.48149503417257905
23,349.0,488,7617925063.275103,0.7348903052469398
24,652.0,493,743500764.0949992,0.7350689840054024
25,615.0,501,52631008.296864435,0.8274378741021362
26,632.0,510,13373117.821221314,0.8515415415091598
27,984.0,569,3586187.526127295,0.5834685982770658
28,655.0,763,504013781.1243912,0.8351820865740239
29,625.0,771,70357671.1197142,0.7318707778625193
30,606.0,772,212287741.455752,0.8975616422277035
31,607.0,775,98181718.29946409,0.7503587758120736
32,641.0,797,186578404.19054845,0.7474633356232878
33,986.0,805,6542084.532192846,0.6226461385770024
34,987.0,836,1282327.0451280547,0.7304041198209776
35,641.0,900,226632.34699615976,0.0025541237342862674
36,625.0,902,744510.8229097218,0.016773634226116833
37,987.0,909,381793.9168014033,0.007416934192371116
38,664.0,971,11287286.99306723,0.742155843590043
39,661.0,972,257716965.21316034,0.6085171497382424
40,608.0,979,215243905.55264252,0.7780301929587236
41,989.0,985,1711941.50115556,0.5241925891015643
42,641.0,995,3279685.4141006414,0.018605111041521367
43,162.0,996,4032354.52664225,0.35276782256282185
44,988.0,997,2361495.4341998925,0.782819160393569
45,670.0,998,23265146.985039968,0.6308262668139195
46,641.0,1006,184734.14216927526,0.0009190709187640051
47,988.0,1027,282289.36416140356,0.08125639763875706
48,655.0,1030,113229.40071612189,0.0003440886617686073
49,641.0,1044,487263.44174399023,0.00155918677704743
50,641.0,1051,180535.73142158243,0.0017414768300428307
51,660.0,1057,12476794.588255484,0.7850907376844467
52,670.0,1062,282289.3642321313,0.02034615531798682
53,625.0,1072,112926.64392395828,0.0023947812637555685
54,670.0,1074,113229.40039500817,0.009194854334675056
55,655.0,1075,209786.39486665974,0.0010531889164619788
56,628.0,1131,644832079.6408118,0.8520464285165649
57,634.0,1141,11902187.562049879,0.6912993118792976
58,990.0,1161,752156.9385429567,0.73868948966646
59,637.0,1205,231117964.07004505,0.7958043879010318
60,606.0,1228,446352.5724692129,6.682063797305373e-05
61,640.0,1232,13945249.723031893,0.7133502779346599
62,991.0,1249,948919.4152273972,0.6486627910154105
63,650.0,1285,60826815.85421531,0.8147217987758145
64,647.0,1331,69345937.52615109,0.7345299669762898
65,663.0,1360,5316031.015715816,0.5168508673655057
66,619.0,1371,20239349.07133207,0.760066688829325
67,610.0,1372,10835844.450826826,0.7333333641284742
68,649.0,1376,46764801.64294796,0.7779756489014772
69,612.0,1382,4021137.0324327643,0.7544684019172603
70,630.0,1387,881322.184074587,0.017354407740450876
71,610.0,1402,280153.10693006864,0.036653234724503346
72,610.0,1405,282289.36415829865,0.012430704543016254
73,612.0,1406,76087.08985571211,0.02789932840207601
74,610.0,1409,113229.40035795436,0.006480093840290223
75,994.0,1412,2168378.45351716,0.5783723886052309
76,610.0,1414,179671.0683618571,0.02210085707373462
77,638.0,1418,34038496.51947451,0.8068309853752537
78,1022.0,1421,352177.7967415924,0.7038621661238538
79,627.0,1426,1246742.3871218604,0.6444130715290172
80,630.0,1429,79460.2378554088,0.00039668436436968645
81,647.0,1430,282289.3641132779,0.010168784099621249
82,647.0,1431,113229.40039506367,0.002489913268996387
83,999.0,1467,1034246.836316102,0.6525053368098064
84,999.0,1468,282289.36423219857,0.07477551064393614
85,661.0,1473,106165.46213274026,0.0006116547388796379
86,54.0,1474,98287125.06109047,0.8557966852032185
87,997.0,1485,113229.40045791012,0.26280640766027064
88,661.0,1492,109103.77894574082,0.0006323824397416675
89,350.0,1503,113229.40045508252,0.00019703129160673636
90,661.0,1505,207708698.07263184,0.5357911693115276
91,661.0,1508,65640.91738363962,0.0003819554311372482
92,1003.0,1524,230409.43512059172,0.07657283972776158
93,622.0,1529,70321366.74762192,0.8042652071834255
94,617.0,1532,11944831.016901989,0.6833287676328573
95,670.0,1535,282289.3641474719,0.02916213969711421
96,616.0,1540,76995282.09027861,0.783817041804235
97,633.0,1541,180998044.0027987,0.8964543200522372
98,666.0,1550,12963138.25693209,0.42029315390108657
99,1000.0,1554,2469506.740723557,0.540725178490989
100,1001.0,1555,712564.1620877637,0.7408940324335863
101,644.0,1556,4971690.490943297,0.5200061128925497
102,609.0,1559,5584071.693902211,0.8680901644536855
103,642.0,1561,121733103.97185259,0.619206381283419
104,54.0,1564,4370401.347623389,0.026317626485939685
105,635.0,1566,116285870.69508101,0.7678807072639776
106,646.0,1568,83973389.47141734,0.7897047821019841
107,626.0,1574,90691353.89507227,0.7986487034811107
108,653.0,1582,15496266.609053282,0.79653294507632
109,654.0,1586,54149719.01323954,0.7698482283038991
